id,name,count
CL:0002327,mammary gland epithelial cell,101696
CL:0002328,bronchial epithelial cell,693
CL:0002329,basal epithelial cell of tracheobronchial tree,8145
CL:0002332,ciliated cell of the bronchus,88
CL:0002334,preadipocyte,104964
CL:0002338,"CD56-positive, CD161-positive immature natural killer cell, human",1108
CL:0002340,luminal cell of prostate epithelium,59988
CL:0002341,basal cell of prostate epithelium,139009
CL:0002343,"decidual natural killer cell, human",37559
CL:0002350,endocardial cell,192422
CL:0002351,progenitor cell of endocrine pancreas,336
CL:0002355,primitive red blood cell,12169
CL:0002362,cerebellar granule cell precursor,5391
CL:0002363,keratocyte,2996
CL:0002364,cortical thymic epithelial cell,37717
CL:0002365,medullary thymic epithelial cell,16371
CL:0002366,myometrial cell,2751
CL:0002368,respiratory epithelial cell,23725
CL:0002370,respiratory goblet cell,4664
CL:0002375,Schwann cell precursor,1344
CL:0002376,non-myelinating Schwann cell,557
CL:0002377,immature Schwann cell,66
CL:0002393,intermediate monocyte,23906
CL:0002394,CD141-positive myeloid dendritic cell,1284
CL:0002396,"CD14-low, CD16-positive monocyte",103407
CL:0002397,"CD14-positive, CD16-positive monocyte",30103
CL:0002399,CD1c-positive myeloid dendritic cell,117848
CL:0002410,pancreatic stellate cell,5685
CL:0002419,mature T cell,156203
CL:0002422,enucleated reticulocyte,304
CL:0002425,early T lineage precursor,1770
CL:0002453,oligodendrocyte precursor cell,841072
CL:0002457,epidermal Langerhans cell,48
CL:0002470,MHC-II-positive classical monocyte,1249
CL:0002480,nasal mucosa goblet cell,113813
CL:0002481,peritubular myoid cell,201
CL:0002488,trophoblast giant cell,1450
CL:0002489,double negative thymocyte,261268
CL:0002495,fetal cardiomyocyte,1391
CL:0002496,intraepithelial lymphocyte,5663
CL:0002503,adventitial cell,23475
CL:0002504,enteric smooth muscle cell,41600
CL:0002518,kidney epithelial cell,36108
CL:0002521,subcutaneous adipocyte,99177
CL:0002538,intrahepatic cholangiocyte,11293
CL:0002543,vein endothelial cell,472584
CL:0002547,fibroblast of the aortic adventitia,8584
CL:0002548,fibroblast of cardiac tissue,354058
CL:0002549,fibroblast of choroid plexus,4116
CL:0002551,fibroblast of dermis,28210
CL:0002553,fibroblast of lung,103033
CL:0002555,fibroblast of mammary gland,833781
CL:0002563,intestinal epithelial cell,70542
